mes,año,semana_epidemiologica,municipio,comuna,enfermedad,casos_reportados,sexo_predominante,edad_promedio,tipo_caso,temperatura_promedio,temperatura_maxima,temperatura_minima,lluvia_mm,altitud,latitud,longitud,hospitales,nivel_hospitalario,densidad_hospitalaria,casos_mes_anterior,promedio_3_meses,crecimiento_casos,brote
1,2008,1,Medellin,Aranjuez,DENGUE,2,M,13.5,Confirmado_Clinica,22.7,27.7,17.23,7.91,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,0,0.0,0.0,0
1,2008,2,Medellin,Aranjuez,DENGUE,2,M,34.5,Confirmado_Laboratorio,22.7,27.7,17.23,7.91,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,2.0,0.0,0
1,2008,4,Medellin,Aranjuez,DENGUE,1,F,16.0,Confirmado_Clinica,22.7,27.7,17.23,7.91,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,2.0,-0.5,0
2,2008,5,Medellin,Aranjuez,DENGUE,1,F,14.0,Confirmado_Clinica,23.1,28.1,17.53,9.39,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.67,0.0,0
2,2008,6,Medellin,Aranjuez,DENGUE,1,M,6.0,Confirmado_Clinica,23.1,28.1,17.53,9.39,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.33,0.0,0
2,2008,8,Medellin,Aranjuez,DENGUE,3,F,18.67,Confirmado_Clinica,23.1,28.1,17.53,9.39,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.0,2.0,0
3,2008,9,Medellin,Aranjuez,DENGUE,5,M,28.4,Confirmado_Clinica,22.87,28.03,17.73,12.9,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,3,1.67,0.67,0
3,2008,10,Medellin,Aranjuez,DENGUE,2,M,14.0,Confirmado_Clinica,22.87,28.03,17.73,12.9,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,5,3.0,-0.6,0
3,2008,11,Medellin,Aranjuez,DENGUE,2,F,24.0,Confirmado_Clinica,22.87,28.03,17.73,12.9,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,3.33,0.0,0
3,2008,12,Medellin,Aranjuez,DENGUE,1,M,60.0,Confirmado_Clinica,22.87,28.03,17.73,12.9,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,3.0,-0.5,0
3,2008,13,Medellin,Aranjuez,DENGUE,1,M,44.0,Confirmado_Laboratorio,22.87,28.03,17.73,12.9,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.67,0.0,0
4,2008,16,Medellin,Aranjuez,DENGUE,1,M,39.0,Confirmado_Clinica,22.67,27.6,17.8,17.75,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.33,0.0,0
4,2008,17,Medellin,Aranjuez,DENGUE,2,M,35.5,Confirmado_Clinica,22.67,27.6,17.8,17.75,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.0,1.0,0
5,2008,18,Medellin,Aranjuez,DENGUE,1,F,13.0,Confirmado_Laboratorio,22.8,27.73,17.77,19.26,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,1.33,-0.5,0
5,2008,20,Medellin,Aranjuez,DENGUE,4,M,20.0,Confirmado_Clinica,22.8,27.73,17.77,19.26,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.33,3.0,0
5,2008,22,Medellin,Aranjuez,DENGUE,1,M,5.0,Confirmado_Clinica,22.8,27.73,17.77,19.26,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,4,2.33,-0.75,0
6,2008,23,Medellin,Aranjuez,DENGUE,2,M,29.0,Confirmado_Clinica,23.4,28.17,17.53,14.81,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,2.0,1.0,0
7,2008,28,Medellin,Aranjuez,DENGUE,2,M,20.0,Confirmado_Clinica,23.63,28.43,17.17,13.34,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,2.33,0.0,0
7,2008,30,Medellin,Aranjuez,DENGUE,1,M,6.0,Confirmado_Clinica,23.63,28.43,17.17,13.34,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,1.67,-0.5,0
8,2008,33,Medellin,Aranjuez,DENGUE,1,F,41.0,Confirmado_Laboratorio,23.57,28.5,17.23,15.5,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.67,0.0,0
8,2008,35,Medellin,Aranjuez,DENGUE,3,M,13.67,Confirmado_Clinica,23.57,28.5,17.23,15.5,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.33,2.0,0
10,2008,42,Medellin,Aranjuez,DENGUE,2,M,36.5,Confirmado_Clinica,22.0,27.2,17.13,20.82,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,3,1.67,-0.33,0
12,2008,50,Medellin,Aranjuez,DENGUE,1,M,61.0,Confirmado_Clinica,22.23,27.2,17.23,11.36,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,2.0,-0.5,0
12,2008,53,Medellin,Aranjuez,DENGUE,1,F,37.0,Confirmado_Laboratorio,22.23,27.2,17.23,11.36,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,2.0,0.0,0
1,2009,2,Medellin,Aranjuez,DENGUE,1,M,24.0,Confirmado_Clinica,22.7,27.7,17.23,7.91,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.33,0.0,0
1,2009,3,Medellin,Aranjuez,DENGUE,1,F,30.0,Confirmado_Laboratorio,22.7,27.7,17.23,7.91,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.0,0.0,0
1,2009,4,Medellin,Aranjuez,DENGUE,1,M,48.0,Confirmado_Laboratorio,22.7,27.7,17.23,7.91,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.0,0.0,0
2,2009,6,Medellin,Aranjuez,DENGUE,2,M,45.0,Confirmado_Laboratorio,23.1,28.1,17.53,9.39,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.0,1.0,0
3,2009,9,Medellin,Aranjuez,DENGUE,2,M,24.0,Confirmado_Laboratorio,22.87,28.03,17.73,12.9,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,1.33,0.0,0
3,2009,12,Medellin,Aranjuez,DENGUE,1,M,21.0,Confirmado_Laboratorio,22.87,28.03,17.73,12.9,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,1.67,-0.5,0
5,2009,18,Medellin,Aranjuez,DENGUE,1,F,65.0,Confirmado_Laboratorio,22.8,27.73,17.77,19.26,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.67,0.0,0
5,2009,19,Medellin,Aranjuez,DENGUE,1,M,50.0,Confirmado_Laboratorio,22.8,27.73,17.77,19.26,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.33,0.0,0
5,2009,20,Medellin,Aranjuez,DENGUE,2,F,25.5,Confirmado_Laboratorio,22.8,27.73,17.77,19.26,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.0,1.0,0
5,2009,21,Medellin,Aranjuez,DENGUE,1,F,29.0,Confirmado_Clinica,22.8,27.73,17.77,19.26,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,1.33,-0.5,0
5,2009,22,Medellin,Aranjuez,DENGUE,2,M,33.0,Confirmado_Clinica,22.8,27.73,17.77,19.26,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.33,1.0,0
6,2009,23,Medellin,Aranjuez,DENGUE,1,F,20.0,Confirmado_Laboratorio,23.4,28.17,17.53,14.81,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,1.67,-0.5,0
6,2009,26,Medellin,Aranjuez,DENGUE,2,M,26.5,Confirmado_Laboratorio,23.4,28.17,17.53,14.81,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.33,1.0,0
7,2009,27,Medellin,Aranjuez,DENGUE,1,M,1.0,Confirmado_Clinica,23.63,28.43,17.17,13.34,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,1.67,-0.5,0
7,2009,28,Medellin,Aranjuez,DENGUE,4,M,14.0,Confirmado_Laboratorio,23.63,28.43,17.17,13.34,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.33,3.0,0
8,2009,31,Medellin,Aranjuez,DENGUE,1,F,49.0,Confirmado_Laboratorio,23.57,28.5,17.23,15.5,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,4,2.33,-0.75,0
8,2009,32,Medellin,Aranjuez,DENGUE,1,F,30.0,Confirmado_Clinica,23.57,28.5,17.23,15.5,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,2.0,0.0,0
8,2009,33,Medellin,Aranjuez,DENGUE,1,M,73.0,Confirmado_Clinica,23.57,28.5,17.23,15.5,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,2.0,0.0,0
9,2009,36,Medellin,Aranjuez,DENGUE,1,M,5.0,Confirmado_Clinica,22.87,27.87,17.07,18.07,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.0,0.0,0
9,2009,37,Medellin,Aranjuez,DENGUE,4,F,33.0,Confirmado_Laboratorio,22.87,27.87,17.07,18.07,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.0,3.0,0
9,2009,38,Medellin,Aranjuez,DENGUE,2,F,34.0,Confirmado_Laboratorio,22.87,27.87,17.07,18.07,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,4,2.0,-0.5,0
9,2009,39,Medellin,Aranjuez,DENGUE,4,M,28.75,Confirmado_Laboratorio,22.87,27.87,17.07,18.07,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,2.33,1.0,0
10,2009,41,Medellin,Aranjuez,DENGUE,2,M,18.5,Confirmado_Laboratorio,22.0,27.2,17.13,20.82,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,4,3.33,-0.5,0
10,2009,42,Medellin,Aranjuez,DENGUE,2,F,42.0,Confirmado_Laboratorio,22.0,27.2,17.13,20.82,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,2.67,0.0,0
10,2009,43,Medellin,Aranjuez,DENGUE,2,M,18.0,Confirmado_Laboratorio,22.0,27.2,17.13,20.82,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,2.67,0.0,0
11,2009,45,Medellin,Aranjuez,DENGUE,2,M,29.5,Confirmado_Laboratorio,21.87,27.03,17.37,17.71,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,2.0,0.0,0
11,2009,46,Medellin,Aranjuez,DENGUE,2,M,26.5,Confirmado_Laboratorio,21.87,27.03,17.37,17.71,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,2.0,0.0,0
11,2009,48,Medellin,Aranjuez,DENGUE,3,F,28.0,Confirmado_Laboratorio,21.87,27.03,17.37,17.71,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,2.0,0.5,0
12,2009,49,Medellin,Aranjuez,DENGUE,1,F,52.0,Confirmado_Laboratorio,22.23,27.2,17.23,11.36,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,3,2.33,-0.67,0
12,2009,50,Medellin,Aranjuez,DENGUE,3,F,39.0,Confirmado_Laboratorio,22.23,27.2,17.23,11.36,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,2.0,2.0,0
12,2009,51,Medellin,Aranjuez,DENGUE,5,M,21.6,Confirmado_Laboratorio,22.23,27.2,17.23,11.36,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,3,2.33,0.67,0
12,2009,52,Medellin,Aranjuez,DENGUE,2,M,30.0,Confirmado_Laboratorio,22.23,27.2,17.23,11.36,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,5,3.0,-0.6,0
1,2010,1,Medellin,Aranjuez,DENGUE,7,F,25.0,Confirmado_Laboratorio,22.7,27.7,17.23,7.91,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,3.33,2.5,1
1,2010,2,Medellin,Aranjuez,DENGUE,6,F,36.67,Confirmado_Laboratorio,22.7,27.7,17.23,7.91,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,7,4.67,-0.14,0
1,2010,3,Medellin,Aranjuez,DENGUE,4,F,48.75,Confirmado_Laboratorio,22.7,27.7,17.23,7.91,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,6,5.0,-0.33,0
1,2010,4,Medellin,Aranjuez,DENGUE,9,F,38.22,Confirmado_Laboratorio,22.7,27.7,17.23,7.91,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,4,5.67,1.25,1
2,2010,5,Medellin,Aranjuez,DENGUE,16,M,27.13,Confirmado_Laboratorio,23.1,28.1,17.53,9.39,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,9,6.33,0.78,1
2,2010,6,Medellin,Aranjuez,DENGUE,13,F,30.15,Confirmado_Laboratorio,23.1,28.1,17.53,9.39,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,16,9.67,-0.19,1
2,2010,7,Medellin,Aranjuez,DENGUE,19,F,28.26,Confirmado_Laboratorio,23.1,28.1,17.53,9.39,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,13,12.67,0.46,1
2,2010,8,Medellin,Aranjuez,DENGUE,18,F,27.0,Confirmado_Laboratorio,23.1,28.1,17.53,9.39,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,19,16.0,-0.05,1
3,2010,9,Medellin,Aranjuez,DENGUE,14,F,37.48,Confirmado_Laboratorio,22.87,28.03,17.73,12.9,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,18,16.67,-0.22,1
3,2010,10,Medellin,Aranjuez,DENGUE,33,F,28.39,Confirmado_Clinica,22.87,28.03,17.73,12.9,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,14,17.0,1.36,1
3,2010,11,Medellin,Aranjuez,DENGUE,32,F,31.41,Confirmado_Clinica,22.87,28.03,17.73,12.9,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,33,21.67,-0.03,1
3,2010,12,Medellin,Aranjuez,DENGUE,38,M,28.54,Confirmado_Clinica,22.87,28.03,17.73,12.9,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,32,26.33,0.19,1
3,2010,13,Medellin,Aranjuez,DENGUE,29,M,30.86,Confirmado_Laboratorio,22.87,28.03,17.73,12.9,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,38,34.33,-0.24,1
4,2010,14,Medellin,Aranjuez,DENGUE,49,M,31.61,Confirmado_Laboratorio,22.67,27.6,17.8,17.75,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,29,33.0,0.69,1
4,2010,15,Medellin,Aranjuez,DENGUE,45,F,31.89,Otro,22.67,27.6,17.8,17.75,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,49,38.67,-0.08,1
4,2010,16,Medellin,Aranjuez,DENGUE,37,F,37.43,Otro,22.67,27.6,17.8,17.75,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,45,41.0,-0.18,1
4,2010,17,Medellin,Aranjuez,DENGUE,65,F,31.66,Confirmado_Laboratorio,22.67,27.6,17.8,17.75,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,37,43.67,0.76,1
5,2010,18,Medellin,Aranjuez,DENGUE,45,F,34.62,Otro,22.8,27.73,17.77,19.26,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,65,49.0,-0.31,1
5,2010,19,Medellin,Aranjuez,DENGUE,69,M,31.88,Otro,22.8,27.73,17.77,19.26,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,45,49.0,0.53,1
5,2010,20,Medellin,Aranjuez,DENGUE,77,F,35.26,Confirmado_Laboratorio,22.8,27.73,17.77,19.26,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,69,59.67,0.12,1
5,2010,21,Medellin,Aranjuez,DENGUE,71,F,31.26,Confirmado_Laboratorio,22.8,27.73,17.77,19.26,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,77,63.67,-0.08,1
5,2010,22,Medellin,Aranjuez,DENGUE,77,M,29.25,Otro,22.8,27.73,17.77,19.26,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,71,72.33,0.08,1
6,2010,23,Medellin,Aranjuez,DENGUE,78,F,32.27,Confirmado_Clinica,23.4,28.17,17.53,14.81,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,77,75.0,0.01,1
6,2010,24,Medellin,Aranjuez,DENGUE,58,F,30.55,Confirmado_Clinica,23.4,28.17,17.53,14.81,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,78,75.33,-0.26,1
6,2010,25,Medellin,Aranjuez,DENGUE,44,F,37.09,Confirmado_Laboratorio,23.4,28.17,17.53,14.81,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,58,71.0,-0.24,1
6,2010,26,Medellin,Aranjuez,DENGUE,69,F,29.85,Confirmado_Clinica,23.4,28.17,17.53,14.81,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,44,60.0,0.57,1
7,2010,27,Medellin,Aranjuez,DENGUE,47,F,30.23,Confirmado_Laboratorio,23.63,28.43,17.17,13.34,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,69,57.0,-0.32,1
7,2010,28,Medellin,Aranjuez,DENGUE,39,F,25.05,Confirmado_Clinica,23.63,28.43,17.17,13.34,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,47,53.33,-0.17,1
7,2010,29,Medellin,Aranjuez,DENGUE,41,F,22.34,Confirmado_Laboratorio,23.63,28.43,17.17,13.34,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,39,51.67,0.05,1
7,2010,30,Medellin,Aranjuez,DENGUE,35,M,26.14,Confirmado_Laboratorio,23.63,28.43,17.17,13.34,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,41,42.33,-0.15,1
8,2010,31,Medellin,Aranjuez,DENGUE,34,F,28.35,Confirmado_Laboratorio,23.57,28.5,17.23,15.5,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,35,38.33,-0.03,1
8,2010,32,Medellin,Aranjuez,DENGUE,27,M,31.89,Confirmado_Clinica,23.57,28.5,17.23,15.5,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,34,36.67,-0.21,1
8,2010,33,Medellin,Aranjuez,DENGUE,32,F,28.03,Confirmado_Laboratorio,23.57,28.5,17.23,15.5,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,27,32.0,0.19,1
8,2010,34,Medellin,Aranjuez,DENGUE,21,M,19.22,Confirmado_Laboratorio,23.57,28.5,17.23,15.5,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,32,31.0,-0.34,1
8,2010,35,Medellin,Aranjuez,DENGUE,22,M,29.05,Confirmado_Clinica,23.57,28.5,17.23,15.5,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,21,26.67,0.05,1
9,2010,36,Medellin,Aranjuez,DENGUE,21,F,25.48,Confirmado_Laboratorio,22.87,27.87,17.07,18.07,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,22,25.0,-0.05,1
9,2010,37,Medellin,Aranjuez,DENGUE,19,M,26.58,Confirmado_Laboratorio,22.87,27.87,17.07,18.07,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,21,21.33,-0.1,1
9,2010,38,Medellin,Aranjuez,DENGUE,8,F,35.0,Otro,22.87,27.87,17.07,18.07,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,19,20.67,-0.58,1
9,2010,39,Medellin,Aranjuez,DENGUE,8,M,25.0,Confirmado_Laboratorio,22.87,27.87,17.07,18.07,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,8,16.0,0.0,1
10,2010,40,Medellin,Aranjuez,DENGUE,5,M,25.0,Confirmado_Clinica,22.0,27.2,17.13,20.82,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,8,11.67,-0.38,0
10,2010,41,Medellin,Aranjuez,DENGUE,4,M,37.75,Confirmado_Laboratorio,22.0,27.2,17.13,20.82,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,5,7.0,-0.2,0
10,2010,42,Medellin,Aranjuez,DENGUE,5,M,32.0,Confirmado_Clinica,22.0,27.2,17.13,20.82,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,4,5.67,0.25,0
10,2010,43,Medellin,Aranjuez,DENGUE,9,M,19.56,Confirmado_Clinica,22.0,27.2,17.13,20.82,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,5,4.67,0.8,1
10,2010,44,Medellin,Aranjuez,DENGUE,4,F,30.0,Confirmado_Clinica,22.0,27.2,17.13,20.82,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,9,6.0,-0.56,0
11,2010,45,Medellin,Aranjuez,DENGUE,6,M,34.5,Confirmado_Clinica,21.87,27.03,17.37,17.71,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,4,6.0,0.5,0
11,2010,46,Medellin,Aranjuez,DENGUE,2,M,29.5,Confirmado_Laboratorio,21.87,27.03,17.37,17.71,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,6,6.33,-0.67,0
11,2010,47,Medellin,Aranjuez,DENGUE,3,M,4.33,Confirmado_Clinica,21.87,27.03,17.37,17.71,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,4.0,0.5,0
11,2010,48,Medellin,Aranjuez,DENGUE,3,F,31.67,Confirmado_Laboratorio,21.87,27.03,17.37,17.71,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,3,3.67,0.0,0
12,2010,49,Medellin,Aranjuez,DENGUE,3,M,19.81,Confirmado_Laboratorio,22.23,27.2,17.23,11.36,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,3,2.67,0.0,0
12,2010,50,Medellin,Aranjuez,DENGUE,3,M,8.33,Otro,22.23,27.2,17.23,11.36,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,3,3.0,0.0,0
12,2010,51,Medellin,Aranjuez,DENGUE,1,F,29.0,Confirmado_Clinica,22.23,27.2,17.23,11.36,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,3,3.0,-0.67,0
12,2010,52,Medellin,Aranjuez,DENGUE,4,M,26.5,Confirmado_Laboratorio,22.23,27.2,17.23,11.36,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,2.33,3.0,0
1,2011,1,Medellin,Aranjuez,DENGUE,5,M,30.6,Confirmado_Laboratorio,22.7,27.7,17.23,7.91,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,4,2.67,0.25,0
1,2011,2,Medellin,Aranjuez,DENGUE,2,M,42.0,Otro,22.7,27.7,17.23,7.91,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,5,3.33,-0.6,0
1,2011,3,Medellin,Aranjuez,DENGUE,1,M,45.0,Confirmado_Clinica,22.7,27.7,17.23,7.91,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,3.67,-0.5,0
1,2011,4,Medellin,Aranjuez,DENGUE,2,M,16.0,Confirmado_Laboratorio,22.7,27.7,17.23,7.91,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,2.67,1.0,0
2,2011,5,Medellin,Aranjuez,DENGUE,1,F,33.0,Confirmado_Laboratorio,23.1,28.1,17.53,9.39,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,1.67,-0.5,0
2,2011,6,Medellin,Aranjuez,DENGUE,1,F,17.0,Confirmado_Clinica,23.1,28.1,17.53,9.39,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.33,0.0,0
2,2011,7,Medellin,Aranjuez,DENGUE,2,M,12.5,Otro,23.1,28.1,17.53,9.39,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.33,1.0,0
2,2011,8,Medellin,Aranjuez,DENGUE,1,M,55.0,Confirmado_Laboratorio,23.1,28.1,17.53,9.39,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,1.33,-0.5,0
3,2011,11,Medellin,Aranjuez,DENGUE,2,M,48.0,Confirmado_Clinica,22.87,28.03,17.73,12.9,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.33,1.0,0
4,2011,14,Medellin,Aranjuez,DENGUE,1,F,17.0,Otro,22.67,27.6,17.8,17.75,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,1.67,-0.5,0
4,2011,15,Medellin,Aranjuez,DENGUE,1,M,2.0,Confirmado_Clinica,22.67,27.6,17.8,17.75,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.33,0.0,0
4,2011,16,Medellin,Aranjuez,DENGUE,2,M,30.5,Confirmado_Laboratorio,22.67,27.6,17.8,17.75,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.33,1.0,0
4,2011,17,Medellin,Aranjuez,DENGUE,1,F,38.0,Confirmado_Laboratorio,22.67,27.6,17.8,17.75,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,1.33,-0.5,0
5,2011,18,Medellin,Aranjuez,DENGUE,1,F,78.0,Confirmado_Clinica,22.8,27.73,17.77,19.26,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.33,0.0,0
5,2011,20,Medellin,Aranjuez,DENGUE,1,M,30.0,Confirmado_Clinica,22.8,27.73,17.77,19.26,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.33,0.0,0
5,2011,21,Medellin,Aranjuez,DENGUE,1,F,8.0,Confirmado_Clinica,22.8,27.73,17.77,19.26,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.0,0.0,0
6,2011,23,Medellin,Aranjuez,DENGUE,1,F,28.0,Confirmado_Laboratorio,23.4,28.17,17.53,14.81,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.0,0.0,0
7,2011,28,Medellin,Aranjuez,DENGUE,1,F,1.0,Confirmado_Clinica,23.63,28.43,17.17,13.34,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.0,0.0,0
7,2011,29,Medellin,Aranjuez,DENGUE,1,M,54.0,Confirmado_Clinica,23.63,28.43,17.17,13.34,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.0,0.0,0
7,2011,30,Medellin,Aranjuez,DENGUE,2,M,8.0,Confirmado_Laboratorio,23.63,28.43,17.17,13.34,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.0,1.0,0
8,2011,31,Medellin,Aranjuez,DENGUE,3,M,9.67,Confirmado_Laboratorio,23.57,28.5,17.23,15.5,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,2,1.33,0.5,0
8,2011,34,Medellin,Aranjuez,DENGUE,1,M,13.0,Confirmado_Clinica,23.57,28.5,17.23,15.5,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,3,2.0,-0.67,0
8,2011,35,Medellin,Aranjuez,DENGUE,1,F,59.0,Confirmado_Clinica,23.57,28.5,17.23,15.5,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,2.0,0.0,0
9,2011,37,Medellin,Aranjuez,DENGUE,1,M,20.0,Confirmado_Laboratorio,22.87,27.87,17.07,18.07,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.67,0.0,0
9,2011,39,Medellin,Aranjuez,DENGUE,1,F,0.83,Confirmado_Clinica,22.87,27.87,17.07,18.07,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.0,0.0,0
10,2011,40,Medellin,Aranjuez,DENGUE,1,M,27.0,Confirmado_Clinica,22.0,27.2,17.13,20.82,2042.06,6.26,-75.6,4,Basico/Intermedio,0.4,1,1.0,0.0,0
